gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math score,reading score,writing score,avg_score,performance
female,group E,master's degree,free/reduced,none,70,72,77,73.0,High
male,group D,bachelor's degree,free/reduced,none,67,62,68,65.7,Average
female,group C,high school,standard,none,56,58,65,59.7,Average
male,group A,bachelor's degree,standard,none,57,65,60,60.7,Average
male,group E,associate's degree,standard,completed,73,66,85,74.7,High
female,group A,high school,standard,none,65,61,68,64.7,Average
male,group E,associate's degree,standard,completed,57,64,60,60.3,Average
male,group D,associate's degree,standard,completed,97,100,97,98.0,High
male,group E,high school,standard,completed,66,70,73,69.7,Average
male,group E,master's degree,standard,none,48,55,49,50.7,Average
male,group E,master's degree,free/reduced,completed,72,67,77,72.0,High
male,group C,bachelor's degree,free/reduced,none,62,79,59,66.7,Average
female,group D,associate's degree,standard,completed,67,57,62,62.0,Average
female,group C,associate's degree,standard,none,51,54,59,54.7,Average
female,group C,bachelor's degree,standard,completed,83,63,78,74.7,High
female,group D,associate's degree,free/reduced,completed,70,51,63,61.3,Average
female,group E,high school,standard,none,73,77,83,77.7,High
female,group E,associate's degree,standard,none,86,88,85,86.3,High
male,group D,bachelor's degree,standard,completed,62,58,61,60.3,Average
female,group C,associate's degree,standard,none,70,71,83,74.7,High
female,group C,high school,standard,completed,92,100,100,97.3,High
male,group D,bachelor's degree,standard,none,45,42,55,47.3,Low
female,group C,some college,standard,none,64,70,66,66.7,Average
male,group B,some college,free/reduced,completed,72,68,81,73.7,High
female,group C,high school,standard,completed,81,85,76,80.7,High
male,group C,some college,free/reduced,completed,47,46,44,45.7,Low
male,group C,bachelor's degree,free/reduced,none,77,74,62,71.0,High
female,group C,associate's degree,standard,completed,84,100,98,94.0,High
female,group A,some college,standard,none,65,76,63,68.0,Average
male,group A,master's degree,standard,none,51,55,54,53.3,Average
male,group E,master's degree,standard,completed,94,73,87,84.7,High
male,group C,master's degree,free/reduced,none,68,66,75,69.7,Average
male,group C,some college,free/reduced,none,57,81,60,66.0,Average
female,group D,associate's degree,standard,none,59,59,53,57.0,Average
female,group C,master's degree,standard,completed,70,77,73,73.3,High
female,group E,bachelor's degree,free/reduced,none,71,82,63,72.0,High
male,group E,some high school,free/reduced,completed,55,55,50,53.3,Average
male,group B,high school,free/reduced,none,48,44,36,42.7,Low
female,group C,associate's degree,standard,none,74,56,65,65.0,Average
female,group E,master's degree,standard,completed,54,61,57,57.3,Average
female,group E,associate's degree,free/reduced,none,46,42,35,41.0,Low
female,group C,associate's degree,free/reduced,none,54,58,47,53.0,Average
male,group D,high school,standard,none,79,70,81,76.7,High
male,group B,bachelor's degree,standard,none,54,52,51,52.3,Average
male,group E,bachelor's degree,standard,completed,75,71,88,78.0,High
female,group C,some college,standard,none,38,43,54,45.0,Low
female,group E,bachelor's degree,standard,completed,67,56,58,60.3,Average
male,group D,master's degree,free/reduced,none,46,57,53,52.0,Average
male,group D,some college,standard,none,80,76,88,81.3,High
male,group D,associate's degree,free/reduced,completed,62,47,56,55.0,Average
male,group C,some college,standard,none,40,42,33,38.3,Low
female,group B,bachelor's degree,free/reduced,none,70,68,69,69.0,Average
male,group C,associate's degree,free/reduced,none,84,86,86,85.3,High
female,group B,bachelor's degree,standard,none,58,68,56,60.7,Average
female,group E,bachelor's degree,standard,none,65,65,71,67.0,Average
female,group C,some college,standard,none,55,56,53,54.7,Average
female,group A,master's degree,standard,none,74,65,66,68.3,Average
male,group E,associate's degree,free/reduced,none,67,75,72,71.3,High
female,group E,high school,free/reduced,none,75,78,81,78.0,High
female,group E,bachelor's degree,standard,none,61,57,53,57.0,Average
male,group E,bachelor's degree,standard,none,70,52,74,65.3,Average
female,group B,some college,standard,completed,57,69,50,58.7,Average
female,group C,master's degree,free/reduced,completed,74,61,66,67.0,Average
male,group D,master's degree,standard,none,45,40,43,42.7,Low
female,group D,some college,standard,completed,90,95,89,91.3,High
female,group B,master's degree,standard,none,92,83,90,88.3,High
female,group E,high school,standard,none,93,81,100,91.3,High
female,group C,some college,standard,none,76,60,71,69.0,Average
male,group C,some college,free/reduced,none,58,66,79,67.7,Average
male,group D,master's degree,standard,none,69,65,74,69.3,Average
male,group D,bachelor's degree,standard,none,53,78,58,63.0,Average
male,group D,high school,free/reduced,none,72,65,78,71.7,High
male,group B,associate's degree,free/reduced,completed,87,77,100,88.0,High
female,group E,associate's degree,standard,none,65,62,61,62.7,Average
male,group C,high school,standard,none,80,83,75,79.3,High
male,group B,master's degree,standard,completed,50,43,44,45.7,Low
male,group E,bachelor's degree,standard,none,73,75,73,73.7,High
male,group E,associate's degree,standard,none,82,75,72,76.3,High
female,group E,master's degree,standard,completed,51,42,52,48.3,Low
female,group E,associate's degree,standard,completed,70,57,84,70.3,High
female,group D,master's degree,free/reduced,completed,87,67,87,80.3,High
female,group D,bachelor's degree,standard,completed,63,63,66,64.0,Average
male,group B,bachelor's degree,free/reduced,completed,58,55,55,56.0,Average
male,group C,high school,standard,completed,62,57,69,62.7,Average
female,group C,master's degree,free/reduced,none,64,72,58,64.7,Average
female,group C,associate's degree,free/reduced,none,78,89,95,87.3,High
female,group D,high school,free/reduced,none,55,55,72,60.7,Average
female,group C,some high school,free/reduced,none,77,64,80,73.7,High
female,group B,associate's degree,free/reduced,completed,59,59,61,59.7,Average
female,group C,associate's degree,standard,none,50,48,60,52.7,Average
male,group D,bachelor's degree,standard,none,99,91,100,96.7,High
female,group B,master's degree,standard,none,68,60,61,63.0,Average
female,group E,high school,free/reduced,completed,69,66,67,67.3,Average
male,group C,bachelor's degree,free/reduced,none,43,42,36,40.3,Low
female,group C,some college,standard,completed,77,70,79,75.3,High
male,group D,master's degree,standard,none,81,84,89,84.7,High
male,group E,bachelor's degree,standard,none,58,62,51,57.0,Average
female,group C,associate's degree,free/reduced,none,55,50,54,53.0,Average
female,group D,bachelor's degree,standard,none,62,72,55,63.0,Average
female,group D,some college,standard,completed,93,87,88,89.3,High
female,group C,associate's degree,standard,completed,71,59,75,68.3,Average
female,group E,bachelor's degree,standard,completed,90,89,82,87.0,High
male,group E,associate's degree,free/reduced,none,72,67,72,70.3,High
female,group D,some college,free/reduced,none,78,82,70,76.7,High
female,group E,associate's degree,free/reduced,completed,72,56,76,68.0,Average
female,group E,bachelor's degree,standard,completed,59,67,56,60.7,Average
male,group D,some college,standard,none,67,74,66,69.0,Average
female,group E,high school,standard,none,31,22,32,28.3,Low
female,group D,bachelor's degree,free/reduced,completed,84,69,85,79.3,High
female,group D,bachelor's degree,standard,none,82,93,78,84.3,High
male,group D,high school,standard,none,66,62,58,62.0,Average
female,group D,some college,standard,none,68,63,83,71.3,High
male,group B,high school,free/reduced,none,56,40,53,49.7,Low
male,group E,some college,standard,completed,97,94,95,95.3,High
female,group E,associate's degree,free/reduced,completed,70,72,79,73.7,High
male,group A,bachelor's degree,standard,none,54,58,79,63.7,Average
female,group E,bachelor's degree,standard,none,59,49,51,53.0,Average
male,group B,associate's degree,standard,none,60,50,65,58.3,Average
male,group C,some college,standard,none,65,70,64,66.3,Average
male,group D,master's degree,standard,none,59,67,57,61.0,Average
female,group B,associate's degree,standard,none,41,31,38,36.7,Low
male,group E,master's degree,standard,none,94,100,89,94.3,High
female,group E,bachelor's degree,free/reduced,none,27,29,28,28.0,Low
female,group C,high school,standard,none,52,63,46,53.7,Average
female,group A,bachelor's degree,free/reduced,none,54,54,62,56.7,Average
male,group C,some college,standard,none,79,60,80,73.0,High
male,group D,bachelor's degree,free/reduced,none,67,66,72,68.3,Average
female,group E,high school,standard,completed,65,78,67,70.0,High
female,group D,high school,standard,none,36,32,36,34.7,Low
female,group C,master's degree,standard,none,45,42,47,44.7,Low
male,group D,some college,standard,completed,87,86,81,84.7,High
female,group D,master's degree,standard,completed,90,62,83,78.3,High
male,group E,some college,free/reduced,none,77,92,75,81.3,High
female,group B,bachelor's degree,free/reduced,completed,80,68,72,73.3,High
male,group D,bachelor's degree,free/reduced,none,65,71,54,63.3,Average
female,group D,associate's degree,free/reduced,none,87,87,99,91.0,High
female,group E,some college,standard,none,55,67,54,58.7,Average
female,group C,some college,standard,completed,97,98,100,98.3,High
male,group D,some high school,standard,completed,55,54,61,56.7,Average
male,group E,some college,standard,none,83,77,76,78.7,High
female,group B,bachelor's degree,standard,none,80,87,76,81.0,High
male,group E,master's degree,standard,none,80,66,100,82.0,High
male,group D,master's degree,standard,none,65,71,80,72.0,High
male,group A,bachelor's degree,standard,none,69,62,71,67.3,Average
male,group C,bachelor's degree,free/reduced,completed,76,84,77,79.0,High
female,group D,bachelor's degree,free/reduced,completed,62,65,60,62.3,Average
female,group A,some college,standard,completed,82,87,88,85.7,High
male,group D,master's degree,free/reduced,completed,90,87,86,87.7,High
male,group C,bachelor's degree,free/reduced,none,84,68,68,73.3,High
male,group D,associate's degree,standard,completed,86,81,79,82.0,High
female,group A,high school,standard,none,45,53,49,49.0,Low
female,group E,associate's degree,standard,none,76,79,71,75.3,High
male,group E,associate's degree,free/reduced,none,78,89,82,83.0,High
male,group E,master's degree,free/reduced,none,36,40,29,35.0,Low
male,group D,associate's degree,standard,none,61,55,58,58.0,Average
male,group B,some college,standard,none,49,45,58,50.7,Average
male,group D,master's degree,standard,completed,59,61,62,60.7,Average
female,group A,high school,standard,none,91,73,92,85.3,High
female,group A,associate's degree,standard,none,71,86,82,79.7,High
male,group C,some high school,free/reduced,completed,83,89,87,86.3,High
male,group C,bachelor's degree,free/reduced,none,90,99,100,96.3,High
female,group E,master's degree,free/reduced,none,56,45,54,51.7,Average
female,group D,some college,free/reduced,none,86,97,87,90.0,High
male,group C,master's degree,free/reduced,none,64,82,58,68.0,Average
female,group C,some college,standard,none,78,69,77,74.7,High
female,group E,master's degree,standard,none,51,57,59,55.7,Average
male,group C,bachelor's degree,standard,none,93,92,100,95.0,High
male,group C,bachelor's degree,free/reduced,none,49,37,56,47.3,Low
male,group B,some high school,standard,none,63,69,54,62.0,Average
female,group E,master's degree,free/reduced,none,83,91,94,89.3,High
male,group D,bachelor's degree,standard,none,69,62,55,62.0,Average
female,group C,some college,standard,completed,76,85,84,81.7,High
female,group B,bachelor's degree,standard,none,60,49,59,56.0,Average
male,group D,some college,standard,none,72,61,79,70.7,High
male,group D,master's degree,free/reduced,completed,57,55,47,53.0,Average
male,group C,high school,free/reduced,none,52,55,63,56.7,Average
male,group E,bachelor's degree,standard,none,53,46,41,46.7,Low
male,group B,associate's degree,standard,none,63,71,62,65.3,Average
female,group C,high school,standard,completed,43,50,42,45.0,Low
female,group E,some college,standard,completed,70,78,59,69.0,Average
female,group C,some high school,standard,none,66,67,70,67.7,Average
female,group D,associate's degree,free/reduced,completed,57,66,73,65.3,Average
male,group C,some college,standard,none,66,64,87,72.3,High
female,group C,associate's degree,standard,completed,86,100,86,90.7,High
male,group E,some college,standard,none,34,31,45,36.7,Low
male,group C,some college,standard,none,68,86,74,76.0,High
male,group E,bachelor's degree,standard,completed,78,75,82,78.3,High
female,group C,some high school,standard,none,68,59,68,65.0,Average
male,group C,master's degree,standard,none,78,88,82,82.7,High
female,group A,master's degree,standard,completed,76,77,79,77.3,High
female,group D,bachelor's degree,standard,none,56,63,54,57.7,Average
male,group C,associate's degree,standard,none,34,47,38,39.7,Low
female,group E,master's degree,standard,none,68,69,68,68.3,Average
female,group C,some college,free/reduced,completed,71,71,81,74.3,High
male,group E,high school,standard,completed,61,72,57,63.3,Average
female,group B,some college,standard,none,70,72,73,71.7,High
male,group E,bachelor's degree,standard,completed,100,100,100,100.0,High
male,group E,some high school,standard,none,60,45,70,58.3,Average
male,group E,associate's degree,standard,completed,64,69,75,69.3,Average
female,group E,master's degree,free/reduced,none,68,64,70,67.3,Average
female,group D,master's degree,free/reduced,none,92,100,96,96.0,High
male,group D,associate's degree,standard,completed,64,74,74,70.7,High
female,group B,high school,standard,none,84,87,98,89.7,High
male,group A,master's degree,standard,none,84,88,73,81.7,High
male,group E,associate's degree,free/reduced,none,69,63,62,64.7,Average
male,group D,high school,standard,completed,78,92,89,86.3,High
female,group E,high school,standard,none,62,80,65,69.0,Average
female,group C,master's degree,standard,none,91,93,88,90.7,High
male,group B,bachelor's degree,standard,none,75,85,67,75.7,High
female,group B,bachelor's degree,standard,none,58,52,53,54.3,Average
female,group D,master's degree,standard,none,84,76,74,78.0,High
male,group C,associate's degree,standard,completed,73,73,87,77.7,High
male,group C,associate's degree,free/reduced,completed,55,60,55,56.7,Average
male,group C,associate's degree,standard,none,64,63,66,64.3,Average
male,group A,some college,standard,none,64,70,72,68.7,Average
female,group D,associate's degree,free/reduced,none,72,76,82,76.7,High
male,group C,bachelor's degree,standard,none,43,34,48,41.7,Low
male,group E,associate's degree,standard,completed,81,87,91,86.3,High
female,group C,master's degree,standard,none,72,78,69,73.0,High
female,group C,associate's degree,standard,none,44,48,45,45.7,Low
male,group A,associate's degree,free/reduced,completed,98,100,100,99.3,High
male,group B,bachelor's degree,standard,none,69,59,66,64.7,Average
male,group C,associate's degree,standard,completed,51,57,55,54.3,Average
male,group C,bachelor's degree,standard,none,81,73,86,80.0,High
female,group D,some college,standard,completed,91,79,96,88.7,High
female,group C,associate's degree,free/reduced,completed,65,60,52,59.0,Average
male,group D,high school,standard,completed,40,38,50,42.7,Low
male,group E,some college,standard,completed,50,47,47,48.0,Low
male,group E,associate's degree,free/reduced,none,55,56,63,58.0,Average
male,group A,bachelor's degree,standard,none,76,82,83,80.3,High
female,group C,master's degree,free/reduced,none,72,68,83,74.3,High
female,group B,associate's degree,free/reduced,none,61,50,72,61.0,Average
male,group C,bachelor's degree,free/reduced,none,47,59,61,55.7,Average
male,group E,associate's degree,standard,none,61,56,74,63.7,Average
male,group B,bachelor's degree,standard,none,66,66,70,67.3,Average
male,group C,high school,free/reduced,none,59,65,63,62.3,Average
male,group D,some college,standard,none,90,92,99,93.7,High
female,group D,some college,standard,completed,68,78,76,74.0,High
female,group D,associate's degree,free/reduced,none,56,62,57,58.3,Average
female,group A,some high school,free/reduced,none,79,73,84,78.7,High
male,group C,high school,standard,none,66,85,71,74.0,High
female,group D,some college,standard,none,79,82,76,79.0,High
female,group B,master's degree,standard,completed,97,89,100,95.3,High
male,group C,some college,free/reduced,none,35,46,39,40.0,Low
female,group A,associate's degree,free/reduced,none,55,59,73,62.3,Average
male,group B,some college,standard,completed,85,91,77,84.3,High
female,group C,associate's degree,standard,none,44,67,45,52.0,Average
female,group B,some college,free/reduced,none,52,52,55,53.0,Average
male,group D,some college,standard,none,48,48,59,51.7,Average
female,group D,associate's degree,standard,completed,64,69,70,67.7,Average
female,group E,some high school,free/reduced,none,84,93,90,89.0,High
male,group C,some high school,standard,none,43,34,37,38.0,Low
male,group B,some college,standard,none,85,70,78,77.7,High
female,group B,some high school,standard,none,64,61,69,64.7,Average
male,group D,high school,standard,none,57,46,49,50.7,Average
female,group D,some college,free/reduced,none,55,54,54,54.3,Average
female,group A,bachelor's degree,standard,none,87,89,91,89.0,High
male,group E,associate's degree,free/reduced,completed,51,47,48,48.7,Low
male,group A,associate's degree,standard,completed,86,73,98,85.7,High
male,group D,some college,standard,none,87,88,99,91.3,High
male,group D,master's degree,standard,completed,72,82,64,72.7,High
male,group E,some college,standard,none,50,39,45,44.7,Low
female,group D,high school,standard,none,64,72,52,62.7,Average
female,group E,associate's degree,standard,none,65,73,63,67.0,Average
male,group C,high school,standard,completed,74,83,84,80.3,High
female,group E,some college,standard,completed,86,97,89,90.7,High
female,group B,associate's degree,free/reduced,none,71,90,79,80.0,High
female,group E,master's degree,free/reduced,completed,80,77,69,75.3,High
female,group D,associate's degree,free/reduced,none,84,86,93,87.7,High
male,group E,bachelor's degree,standard,completed,100,96,97,97.7,High
male,group C,master's degree,standard,completed,68,66,67,67.0,Average
male,group D,high school,free/reduced,none,64,78,68,70.0,High
female,group D,some college,standard,completed,55,44,47,48.7,Low
female,group D,some college,standard,none,91,85,85,87.0,High
female,group B,associate's degree,free/reduced,none,49,63,60,57.3,Average
female,group A,associate's degree,free/reduced,none,60,70,67,65.7,Average
male,group C,master's degree,standard,none,43,43,53,46.3,Low
male,group B,bachelor's degree,standard,completed,59,61,61,60.3,Average
male,group E,associate's degree,free/reduced,completed,63,64,65,64.0,Average
female,group C,some college,standard,none,88,100,80,89.3,High
male,group E,bachelor's degree,free/reduced,completed,59,55,52,55.3,Average
male,group C,master's degree,free/reduced,completed,76,83,73,77.3,High
male,group B,bachelor's degree,free/reduced,none,55,76,71,67.3,Average
male,group E,some high school,standard,completed,55,62,65,60.7,Average
female,group D,bachelor's degree,standard,none,56,59,70,61.7,Average
female,group C,high school,free/reduced,completed,68,75,72,71.7,High
female,group D,some college,standard,none,56,55,54,55.0,Average
male,group D,high school,free/reduced,none,58,79,64,67.0,Average
female,group C,associate's degree,standard,none,57,61,62,60.0,Average
female,group E,bachelor's degree,standard,completed,76,74,68,72.7,High
female,group E,high school,free/reduced,none,91,85,91,89.0,High
female,group D,some college,free/reduced,none,73,83,76,77.3,High
male,group C,associate's degree,free/reduced,none,78,86,93,85.7,High
male,group D,some college,free/reduced,completed,62,60,49,57.0,Average
female,group B,high school,standard,none,71,77,83,77.0,High
female,group A,associate's degree,free/reduced,none,42,33,38,37.7,Low
female,group C,bachelor's degree,free/reduced,none,79,79,70,76.0,High
female,group C,high school,standard,none,76,81,88,81.7,High
female,group E,high school,standard,completed,62,75,69,68.7,Average
female,group D,some college,standard,completed,44,42,57,47.7,Low
female,group D,master's degree,standard,none,96,82,100,92.7,High
male,group C,bachelor's degree,free/reduced,none,53,47,69,56.3,Average
male,group C,bachelor's degree,standard,completed,63,51,66,60.0,Average
female,group C,some college,standard,none,55,68,58,60.3,Average
female,group E,associate's degree,standard,completed,67,83,75,75.0,High
male,group A,some high school,standard,none,65,69,77,70.3,High
female,group E,bachelor's degree,standard,completed,88,99,89,92.0,High
male,group D,master's degree,standard,none,88,89,86,87.7,High
male,group C,associate's degree,free/reduced,none,35,37,36,36.0,Low
female,group D,master's degree,standard,completed,76,68,57,67.0,Average
female,group C,bachelor's degree,standard,none,64,61,66,63.7,Average
male,group E,high school,standard,none,64,53,53,56.7,Average
female,group E,master's degree,free/reduced,none,55,56,55,55.3,Average
male,group C,high school,standard,none,93,93,100,95.3,High
male,group C,associate's degree,free/reduced,none,76,83,76,78.3,High
male,group D,high school,free/reduced,none,68,70,83,73.7,High
female,group E,some high school,free/reduced,none,72,72,65,69.7,Average
male,group C,associate's degree,standard,none,46,42,57,48.3,Low
female,group D,some college,free/reduced,completed,55,57,63,58.3,Average
male,group D,associate's degree,standard,none,62,70,54,62.0,Average
male,group D,associate's degree,free/reduced,none,66,59,87,70.7,High
female,group B,some high school,standard,completed,93,94,97,94.7,High
male,group D,high school,standard,none,59,63,56,59.3,Average
male,group E,associate's degree,standard,none,77,72,70,73.0,High
female,group B,some college,standard,none,75,72,76,74.3,High
female,group C,bachelor's degree,free/reduced,none,45,49,47,47.0,Low
female,group E,bachelor's degree,standard,none,64,54,64,60.7,Average
female,group B,master's degree,standard,none,65,70,66,67.0,Average
female,group E,bachelor's degree,standard,none,72,63,76,70.3,High
male,group C,associate's degree,free/reduced,none,76,86,77,79.7,High
female,group C,bachelor's degree,free/reduced,none,63,82,53,66.0,Average
female,group E,some college,free/reduced,none,87,81,88,85.3,High
male,group C,some college,free/reduced,none,52,59,39,50.0,Average
female,group D,bachelor's degree,standard,completed,67,63,72,67.3,Average
male,group C,associate's degree,standard,none,80,89,77,82.0,High
female,group D,bachelor's degree,free/reduced,none,61,53,64,59.3,Average
female,group B,bachelor's degree,standard,none,49,52,58,53.0,Average
male,group C,master's degree,standard,none,73,66,68,69.0,Average
male,group E,master's degree,standard,none,48,45,55,49.3,Low
male,group C,associate's degree,standard,none,51,45,50,48.7,Low
male,group D,some college,standard,completed,66,76,82,74.7,High
male,group C,associate's degree,free/reduced,none,59,54,59,57.3,Average
female,group E,some college,standard,completed,77,83,73,77.7,High
female,group B,associate's degree,standard,none,97,94,100,97.0,High
male,group E,bachelor's degree,standard,none,66,64,63,64.3,Average
male,group C,bachelor's degree,free/reduced,none,83,81,76,80.0,High
male,group C,some college,standard,none,55,51,54,53.3,Average
female,group B,high school,free/reduced,none,61,65,64,63.3,Average
female,group B,associate's degree,free/reduced,completed,86,98,97,93.7,High
male,group D,high school,standard,none,66,61,55,60.7,Average
female,group C,master's degree,free/reduced,completed,95,100,95,96.7,High
male,group E,some college,free/reduced,completed,75,87,84,82.0,High
male,group C,high school,free/reduced,none,49,45,53,49.0,Low
female,group C,some high school,free/reduced,none,82,71,93,82.0,High
male,group D,bachelor's degree,standard,none,74,75,74,74.3,High
male,group D,bachelor's degree,standard,none,78,73,77,76.0,High
female,group B,some college,standard,none,59,76,68,67.7,Average
male,group B,high school,standard,none,94,95,98,95.7,High
female,group A,some college,free/reduced,none,91,85,91,89.0,High
male,group D,some college,standard,none,54,47,60,53.7,Average
female,group D,bachelor's degree,free/reduced,completed,77,89,77,81.0,High
male,group C,associate's degree,free/reduced,completed,93,90,88,90.3,High
female,group E,some college,free/reduced,completed,96,93,92,93.7,High
female,group E,some college,free/reduced,none,61,71,74,68.7,Average
male,group D,master's degree,standard,none,59,56,38,51.0,Average
female,group E,associate's degree,standard,none,65,66,71,67.3,Average
female,group C,bachelor's degree,standard,none,70,68,69,69.0,Average
male,group B,high school,standard,none,33,42,25,33.3,Low
male,group C,associate's degree,standard,completed,88,93,89,90.0,High
male,group A,some high school,standard,completed,52,49,54,51.7,Average
male,group D,associate's degree,free/reduced,none,46,49,53,49.3,Low
female,group E,master's degree,standard,none,58,56,41,51.7,Average
female,group A,some college,standard,none,64,54,76,64.7,Average
female,group B,some high school,free/reduced,none,68,72,66,68.7,Average
male,group C,some high school,standard,none,68,85,78,77.0,High
male,group E,some college,standard,none,69,63,77,69.7,Average
male,group C,high school,free/reduced,none,54,50,50,51.3,Average
male,group C,some high school,standard,completed,71,66,76,71.0,High
female,group A,bachelor's degree,free/reduced,none,96,98,93,95.7,High
female,group B,associate's degree,standard,completed,68,73,52,64.3,Average
female,group E,some college,free/reduced,none,61,62,72,65.0,Average
male,group E,master's degree,standard,none,58,52,54,54.7,Average
female,group A,high school,standard,none,94,95,91,93.3,High
male,group E,master's degree,standard,none,29,20,28,25.7,Low
female,group D,some college,free/reduced,none,77,79,82,79.3,High
female,group E,master's degree,standard,completed,86,91,85,87.3,High
female,group C,associate's degree,standard,completed,68,62,76,68.7,Average
male,group D,bachelor's degree,free/reduced,none,73,59,63,65.0,Average
male,group C,master's degree,free/reduced,none,67,77,62,68.7,Average
female,group D,some college,standard,completed,61,55,60,58.7,Average
female,group B,master's degree,free/reduced,none,60,69,75,68.0,Average
male,group A,some college,standard,none,95,94,97,95.3,High
female,group C,some college,standard,none,51,52,62,55.0,Average
male,group D,some college,standard,completed,79,84,80,81.0,High
male,group C,associate's degree,free/reduced,completed,65,58,60,61.0,Average
female,group D,high school,free/reduced,none,78,80,79,79.0,High
female,group E,associate's degree,standard,completed,90,86,90,88.7,High
male,group B,associate's degree,standard,completed,74,65,78,72.3,High
female,group D,bachelor's degree,standard,none,61,62,70,64.3,Average
female,group C,master's degree,free/reduced,none,95,90,97,94.0,High
male,group E,associate's degree,free/reduced,none,58,59,69,62.0,Average
male,group B,some college,standard,completed,56,49,51,52.0,Average
male,group D,some college,free/reduced,none,57,72,59,62.7,Average
male,group E,some college,free/reduced,completed,65,73,66,68.0,Average
female,group E,high school,standard,none,68,77,74,73.0,High
female,group D,some college,standard,completed,53,55,53,53.7,Average
male,group C,some college,standard,none,46,35,53,44.7,Low
male,group D,master's degree,free/reduced,none,47,61,41,49.7,Low
female,group E,associate's degree,free/reduced,completed,48,50,52,50.0,Average
male,group D,some college,standard,completed,76,67,81,74.7,High
female,group A,associate's degree,free/reduced,completed,80,83,65,76.0,High
female,group E,high school,standard,none,39,51,58,49.3,Low
female,group D,associate's degree,standard,completed,76,78,75,76.3,High
female,group D,associate's degree,free/reduced,none,78,89,68,78.3,High
female,group C,associate's degree,free/reduced,none,91,100,96,95.7,High
female,group D,some college,standard,none,92,84,94,90.0,High
female,group C,master's degree,standard,none,87,81,88,85.3,High
male,group D,master's degree,standard,none,51,59,60,56.7,Average
male,group B,associate's degree,standard,completed,42,20,48,36.7,Low
male,group D,associate's degree,standard,none,69,69,74,70.7,High
male,group E,associate's degree,standard,completed,59,45,59,54.3,Average
female,group A,some college,free/reduced,none,58,56,60,58.0,Average
female,group E,some college,standard,none,90,88,100,92.7,High
male,group C,some high school,free/reduced,none,90,88,82,86.7,High
female,group E,associate's degree,free/reduced,completed,90,87,94,90.3,High
male,group E,associate's degree,standard,completed,69,60,71,66.7,Average
female,group D,some college,standard,completed,74,89,81,81.3,High
male,group D,master's degree,free/reduced,completed,86,100,81,89.0,High
female,group E,master's degree,standard,none,52,43,40,45.0,Low
male,group C,bachelor's degree,free/reduced,none,80,93,84,85.7,High
male,group C,associate's degree,free/reduced,completed,56,56,59,57.0,Average
male,group D,master's degree,free/reduced,none,59,58,69,62.0,Average
female,group E,high school,free/reduced,none,73,74,67,71.3,High
male,group D,bachelor's degree,standard,none,66,62,77,68.3,Average
male,group E,high school,standard,none,78,87,98,87.7,High
